Position_X, Position_Y, Position_Z, Rotation_X, Rotation_Y, Rotation_Z
1.532878,1.150632, -0.5312723,-0.03049096,-0.5175348, -0.1629191,
1.533552,1.150838, -0.5311646,-0.03134403,-0.5158709, -0.1639464,
1.521202,1.141427, -0.5197719,-0.006544153,-0.511724, -0.1287432,
1.521991,1.141695, -0.5195868,-0.006519058,-0.5106583, -0.1294767,
1.521695,1.141829, -0.5198261,-0.007137722,-0.509892, -0.1305775,
1.522616,1.141466, -0.5190173,-0.007277275,-0.5085073, -0.1308949,
1.522727,1.141609, -0.5190649,-0.007814407,-0.5079319, -0.1319758,
1.522764,1.142192, -0.5186977,-0.008347771,-0.5072375, -0.1319013,
1.522747,1.142241, -0.5190681,-0.00888895,-0.5069935, -0.1318962,
1.522993,1.142229, -0.5186658,-0.009310212,-0.5065852, -0.1319054,
1.523287,1.142421, -0.5185184,-0.009888072,-0.5052522, -0.1327017,
1.523696,1.142391, -0.5180742,-0.01087386,-0.5038794, -0.1330288,
1.524297,1.142835, -0.5177091,-0.01191046,-0.5028877, -0.1341268,
1.526503,1.14415, -0.5161071,-0.01694031,-0.4963001, -0.1382971,
1.527053,1.144409, -0.5161611,-0.01749996,-0.4963352, -0.1391583,
1.527366,1.14481, -0.5163286,-0.01838851,-0.496647, -0.1402232,
1.5279,1.145327, -0.5164502,-0.02017856,-0.496193, -0.1410551,
1.52821,1.14583, -0.5163963,-0.02183114,-0.4953834, -0.1425559,
1.528889,1.146238, -0.5163563,-0.02322161,-0.494389, -0.1436153,
1.529306,1.146997, -0.5161835,-0.02545598,-0.4935555, -0.1452722,
1.530097,1.147864, -0.5161426,-0.02915053,-0.4925252, -0.1477406,
1.531314,1.149967, -0.5156928,-0.03712012,-0.4899355, -0.1517888,
1.533235,1.153274, -0.5149357,-0.05083609,-0.4849113, -0.159767,
1.536635,1.160298, -0.5133766,-0.08166669,-0.4750468, -0.1752405,
1.541852,1.166659, -0.5117258,-0.1094997,-0.46099, -0.1889056,
1.544895,1.169916, -0.5112494,-0.1243062,-0.4561143, -0.1948762,
1.54783,1.172483, -0.5115732,-0.135799,-0.4536882, -0.2002031,
1.549356,1.17387, -0.5119754,-0.1419506,-0.4521435, -0.2026917,
1.550066,1.174558, -0.5121535,-0.1451214,-0.4505778, -0.2031771,
1.550032,1.174336, -0.5118891,-0.1448866,-0.4486576, -0.2016614,
1.549185,1.173932, -0.5111605,-0.1444494,-0.4466498, -0.1992524,
1.548272,1.17338, -0.5102878,-0.1425445,-0.4449801, -0.1978947,
1.547409,1.172714, -0.5098107,-0.1403454,-0.4442742, -0.1962699,
1.546709,1.172201, -0.508876,-0.1380633,-0.4438664, -0.1948501,
1.546147,1.17188, -0.5085273,-0.1368911,-0.4431402, -0.1936627,
1.546128,1.171472, -0.5081311,-0.135896,-0.4420505, -0.1934011,
1.545862,1.171025, -0.5078833,-0.1343433,-0.4410231, -0.1921327,
1.545659,1.170826, -0.5073656,-0.1342378,-0.4403902, -0.191785,
1.545674,1.170643, -0.5070771,-0.1333093,-0.4397415, -0.1915661,
1.545653,1.170484, -0.5066841,-0.1325904,-0.4391478, -0.1910386,
1.545508,1.170292, -0.5065719,-0.1319638,-0.4383989, -0.1908043,
1.545645,1.170088, -0.5063373,-0.1315007,-0.4379048, -0.1901807,
1.545613,1.170089, -0.506169,-0.1308797,-0.4376104, -0.1897819,
1.545624,1.16997, -0.5058711,-0.1304364,-0.4367527, -0.1891511,
1.545651,1.169684, -0.5058903,-0.1302669,-0.436193, -0.1890255,
1.545743,1.169639, -0.5055875,-0.1298901,-0.4353894, -0.188846,
1.545672,1.169563, -0.5056401,-0.1300189,-0.4352249, -0.1885348,
1.545558,1.169553, -0.5057606,-0.1298105,-0.4356756, -0.1882618,
1.545314,1.169377, -0.5057591,-0.1293624,-0.4359877, -0.1879318,
1.545119,1.169249, -0.5059588,-0.1288676,-0.4361599, -0.1873413,
1.545194,1.169047, -0.5057442,-0.1284664,-0.4359439, -0.1871946,
1.545222,1.169142, -0.505761,-0.1285135,-0.4359552, -0.1872496,
