Position_X, Position_Y, Position_Z, Rotation_X, Rotation_Y, Rotation_Z
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
1.368616,2.540456, 1.343891,0.02016231,-0.9750535, 0.1589501,
