Position_X, Position_Y, Position_Z, Rotation_X, Rotation_Y, Rotation_Z
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
-3.52173,2.080227, 1.794215,0.0650038,0.9959054, -0.04121388,
