Position_X, Position_Y, Position_Z, Rotation_X, Rotation_Y, Rotation_Z
-0.2130737,1.189814, 1.193763,-0.1304231,0.4189108, -0.7499771,
-0.2115263,1.18813, 1.193725,-0.09262495,0.405225, -0.758366,
-0.2188882,1.196079, 1.153969,-0.3432785,0.575434, -0.6422732,
-0.2237939,1.194253, 1.154722,-0.3562022,0.5732371, -0.6441889,
-0.2252058,1.19354, 1.155063,-0.359871,0.5740047, -0.6444575,
-0.2263994,1.192934, 1.15583,-0.3630633,0.5749432, -0.6441805,
-0.2275928,1.192351, 1.156263,-0.3660252,0.5754535, -0.644767,
-0.2286423,1.192049, 1.157117,-0.3705621,0.5740777, -0.6433787,
-0.2302824,1.191396, 1.158397,-0.3814619,0.5674731, -0.6434096,
-0.2309809,1.191112, 1.159032,-0.3869514,0.5635906, -0.643831,
-0.2310983,1.190771, 1.159561,-0.3920314,0.5617799, -0.6432823,
-0.2313849,1.190511, 1.160361,-0.3973873,0.5600882, -0.6421835,
-0.2315887,1.190133, 1.161384,-0.4029673,0.5577762, -0.6414509,
-0.2314099,1.18993, 1.162318,-0.4077172,0.5542069, -0.6419104,
-0.2313968,1.189627, 1.163112,-0.4125086,0.5501322, -0.6421116,
-0.2312802,1.189338, 1.164251,-0.4161926,0.5456401, -0.6425737,
-0.2309042,1.189246, 1.165303,-0.4188535,0.5424464, -0.6419761,
-0.2303697,1.189056, 1.166296,-0.4201673,0.5403006, -0.6414545,
-0.2297865,1.188932, 1.1675,-0.4216048,0.5378705, -0.6417332,
-0.2290357,1.18874, 1.168541,-0.4243198,0.5342259, -0.6418877,
-0.22814,1.188664, 1.169431,-0.4279436,0.5300065, -0.6412542,
-0.2273595,1.188547, 1.170044,-0.4319698,0.5256613, -0.6404703,
-0.2262895,1.188494, 1.170798,-0.4365412,0.5207996, -0.6389412,
-0.2250956,1.188324, 1.171393,-0.4404137,0.5163418, -0.6379457,
-0.2237872,1.188213, 1.172035,-0.4436796,0.5116579, -0.6372902,
-0.2224463,1.1882, 1.17268,-0.4449136,0.5091599, -0.6363674,
-0.2210388,1.188086, 1.173154,-0.446034,0.5078035, -0.6351476,
-0.2198193,1.188125, 1.173626,-0.4485136,0.5048569, -0.6341133,
-0.218443,1.188188, 1.173983,-0.451201,0.5008333, -0.6330067,
-0.2171546,1.188152, 1.174286,-0.454927,0.4954464, -0.6314623,
-0.2159001,1.188235, 1.174459,-0.4597287,0.4908558, -0.62909,
-0.2144064,1.18835, 1.174544,-0.4638089,0.4882949, -0.6260991,
-0.2128633,1.188729, 1.175033,-0.4663442,0.4862445, -0.6236162,
-0.2116016,1.188578, 1.174831,-0.4693729,0.4831881, -0.6217468,
-0.2103277,1.188429, 1.174949,-0.4721919,0.4803044, -0.6194763,
-0.2090362,1.188534, 1.174809,-0.4755902,0.4780411, -0.6169782,
-0.2078698,1.188452, 1.174618,-0.47875,0.4760382, -0.6138586,
-0.2067567,1.188435, 1.174406,-0.4819587,0.4734375, -0.6112059,
-0.205698,1.188622, 1.173817,-0.4849868,0.4704727, -0.6094891,
-0.2045664,1.188955, 1.173581,-0.4887765,0.4677075, -0.6068088,
-0.2035773,1.188968, 1.173277,-0.4921626,0.4658493, -0.6040112,
-0.2027451,1.188779, 1.172564,-0.49591,0.4636393, -0.6010116,
-0.2018951,1.188624, 1.172248,-0.4994307,0.4611023, -0.5979778,
-0.2012824,1.188475, 1.172123,-0.5014297,0.4595458, -0.5968053,
-0.2009788,1.187982, 1.171982,-0.5028409,0.4584817, -0.5959064,
-0.2005461,1.187553, 1.171772,-0.5032724,0.4580633, -0.5951967,
-0.2001157,1.187175, 1.17159,-0.5038706,0.4574832, -0.5943077,
-0.2004038,1.18657, 1.171594,-0.5026243,0.4580706, -0.594257,
-0.2005787,1.185959, 1.171948,-0.5033833,0.4573117, -0.5934747,
-0.2008232,1.18521, 1.171971,-0.5041754,0.4559256, -0.592674,
-0.2011404,1.184625, 1.171852,-0.5049129,0.4545999, -0.5920978,
-0.2016236,1.18363, 1.171971,-0.5044016,0.4541675, -0.5923377,
-0.2022116,1.18265, 1.171814,-0.5027303,0.4553649, -0.5936249,
-0.2027525,1.18145, 1.172039,-0.500465,0.4570122, -0.5955637,
-0.2035897,1.180215, 1.172106,-0.4968345,0.4588296, -0.5982249,
-0.2045384,1.178875, 1.172245,-0.4935092,0.4605926, -0.6007124,
-0.2057503,1.177206, 1.172516,-0.4904294,0.4627421, -0.6037363,
-0.2068584,1.175816, 1.172742,-0.4884197,0.4642984, -0.6057696,
-0.2081339,1.174153, 1.173006,-0.4860104,0.4657387, -0.6080435,
-0.2093836,1.172401, 1.17329,-0.4833218,0.4677293, -0.6104604,
-0.2108151,1.170635, 1.173479,-0.4802842,0.4701039, -0.6138134,
-0.2121459,1.168896, 1.17376,-0.4774548,0.4723901, -0.616602,
-0.2136037,1.167132, 1.174053,-0.4735426,0.4749012, -0.6201257,
-0.2150971,1.165377, 1.17435,-0.4688212,0.4782881, -0.6239225,
-0.2166116,1.163586, 1.174538,-0.4650041,0.4811997, -0.6273171,
-0.2182883,1.161954, 1.174776,-0.4616139,0.4842057, -0.6306439,
-0.2198223,1.160339, 1.17497,-0.4583735,0.4865807, -0.6335599,
-0.2214532,1.158772, 1.175145,-0.4556668,0.4885449, -0.6362858,
-0.2229632,1.157187, 1.175108,-0.4526496,0.4905175, -0.6395684,
-0.2244493,1.155785, 1.175207,-0.4487203,0.4928036, -0.6433215,
-0.2262363,1.154136, 1.175697,-0.4435091,0.4954095, -0.6472992,
-0.2277983,1.152987, 1.175755,-0.4383206,0.4981633, -0.6507705,
-0.2292348,1.15195, 1.175841,-0.433772,0.5013596, -0.6532308,
-0.232072,1.149936, 1.176278,-0.4267995,0.5048478, -0.6573058,
-0.2333425,1.148792, 1.176688,-0.4225315,0.506337, -0.6597469,
-0.2343937,1.148121, 1.17655,-0.4183724,0.5076661, -0.6618261,
-0.2354891,1.147435, 1.17683,-0.414372,0.509926, -0.6630335,
-0.2363636,1.146773, 1.176707,-0.410973,0.5117065, -0.6643885,
-0.2372299,1.146049, 1.176771,-0.4078938,0.5131078, -0.6652331,
-0.237788,1.145742, 1.176162,-0.4056418,0.5137761, -0.66619,
-0.2381344,1.145411, 1.175807,-0.4038128,0.5144742, -0.6666086,
-0.2385473,1.145166, 1.175532,-0.401689,0.5156665, -0.6669097,
-0.2384285,1.145207, 1.175103,-0.3997849,0.5169744, -0.6664926,
-0.2384461,1.145322, 1.174456,-0.3973565,0.5185215, -0.6650887,
-0.2384461,1.145322, 1.174456,-0.3973565,0.5185215, -0.6650887,
-0.2384371,1.145373, 1.17426,-0.397061,0.5187922, -0.6638889,
-0.238088,1.14576, 1.173867,-0.3984143,0.5180361, -0.6618357,
-0.2376918,1.14618, 1.173561,-0.3999944,0.5171676, -0.660097,
-0.2372327,1.146644, 1.173251,-0.4004292,0.5172193, -0.6585205,
-0.236511,1.147428, 1.173207,-0.4017798,0.5177675, -0.6564208,
-0.2360986,1.147863, 1.173099,-0.4032036,0.5180514, -0.6544068,
-0.2354647,1.14871, 1.172974,-0.4057244,0.5175526, -0.6516683,
-0.2348757,1.149885, 1.173393,-0.4073817,0.517244, -0.6487457,
-0.2342585,1.150818, 1.173406,-0.411237,0.5153767, -0.645684,
-0.2340684,1.15134, 1.173521,-0.4148543,0.5133599, -0.6430009,
-0.2337762,1.151974, 1.173436,-0.417581,0.5122545, -0.6409502,
-0.2331353,1.15267, 1.173586,-0.4198962,0.511883, -0.6394122,
